School Year,District Name,Category,Student Group,ELACount,ELAPerformanceIndex,MathCount,MathPerformanceIndex,ScienceCount,SciencePerformanceIndex
2014-2015,State of Connecticut,All Students,State,267156,67.9,266482,59.3,122306,56.5
2014-2015,State of Connecticut,English Language Learners (EL),English Learners,18986,50.7,18999,44,7698,36.5
2014-2015,State of Connecticut,English Language Learners (EL),Not English Learners,248170,69.2,247483,60.5,114608,57.9
2014-2015,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,123879,56.7,123538,47.8,55606,45.9
2014-2015,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,143277,77.6,142944,69.3,66700,65.4
2014-2015,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,99651,57,99383,47.8,44421,45.6
2014-2015,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,167505,74.4,167099,66.2,77885,62.7
2014-2015,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,734,62.5,735,53.2,338,53
2014-2015,State of Connecticut,Race/Ethnicity,Asian,12863,78.4,12870,73.6,5553,64.2
2014-2015,State of Connecticut,Race/Ethnicity,Black or African American,33794,56.2,33694,45.8,15756,44.1
2014-2015,State of Connecticut,Race/Ethnicity,Hispanic or Latino,56716,57.3,56615,48,25170,45.5
2014-2015,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,220,68.8,219,58.8,109,52.3
2014-2015,State of Connecticut,Race/Ethnicity,Two or More Races,6493,69.6,6478,60.6,2702,57.7
2014-2015,State of Connecticut,Race/Ethnicity,White,156336,73.4,155871,65.1,72678,62.4
2014-2015,State of Connecticut,Special Education Status (SWD),Students with Disabilities,41371,48.3,41203,40.6,19272,41.6
2014-2015,State of Connecticut,Special Education Status (SWD),Students without Disabilities,225785,71.5,225279,62.7,103034,59.3
2015-2016,State of Connecticut,All Students,State,271088,67.7,270487,61.4,118048,57.5
2015-2016,State of Connecticut,English Language Learners (EL),English Learners,19204,51,19145,46,6938,38.1
2015-2016,State of Connecticut,English Language Learners (EL),Not English Learners,251884,69,251342,62.5,111110,58.7
2015-2016,State of Connecticut,Gender,Female,132089,70.2,131817,61.6,57798,57.7
2015-2016,State of Connecticut,Gender,Male,138999,65.3,138670,61.2,60250,57.3
2015-2016,State of Connecticut,Grade,3,38516,70,38447,63.5,N/A,N/A
2015-2016,State of Connecticut,Grade,4,38087,72.2,38028,66.2,N/A,N/A
2015-2016,State of Connecticut,Grade,5,38757,69.6,38682,64.6,38940,57.6
2015-2016,State of Connecticut,Grade,6,38848,69.8,38742,61.4,N/A,N/A
2015-2016,State of Connecticut,Grade,7,39848,68,39726,60.1,N/A,N/A
2015-2016,State of Connecticut,Grade,8,39174,65.4,39008,58.7,39600,56.6
2015-2016,State of Connecticut,Grade,10,N/A,N/A,N/A,N/A,39508,58.3
2015-2016,State of Connecticut,Grade,11,37858,58.6,37854,55.2,N/A,N/A
2015-2016,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,128050,56.7,127623,49.9,54083,47
2015-2016,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,143038,77.5,142864,71.6,63965,66.4
2015-2016,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,103965,57,103649,49.8,43613,46.9
2015-2016,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,167123,74.4,166838,68.6,74435,63.7
2015-2016,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Free,90860,56,90560,48.8,37795,45.9
2015-2016,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Non-Subsidized,167123,74.4,166838,68.6,74435,63.7
2015-2016,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Reduced,13105,63.3,13089,56.7,5818,53.2
2015-2016,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,702,63.8,701,56.8,326,52.8
2015-2016,State of Connecticut,Race/Ethnicity,Asian,13403,78.2,13385,76.2,5742,66.1
2015-2016,State of Connecticut,Race/Ethnicity,Black or African American,34193,55.7,34100,47.7,14982,44.7
2015-2016,State of Connecticut,Race/Ethnicity,Hispanic or Latino,59907,57.3,59734,50.2,24883,46.8
2015-2016,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,245,68.1,245,62.3,111,55.7
2015-2016,State of Connecticut,Race/Ethnicity,Two or More Races,7175,69.8,7165,63.1,2762,59.1
2015-2016,State of Connecticut,Race/Ethnicity,White,155463,73.3,155157,67.3,69242,63.4
2015-2016,State of Connecticut,Special Education Status (SWD),Students with Disabilities,42821,48.7,42573,42.4,18961,41.8
2015-2016,State of Connecticut,Special Education Status (SWD),Students without Disabilities,228267,71.3,227914,64.9,99087,60.5
2016-2017,State of Connecticut,All Students,State,272109,67.1,271376,62.2,118940,55.3
2016-2017,State of Connecticut,English Language Learners (EL),English Learners,27620,53.1,27525,49.9,10420,40.6
2016-2017,State of Connecticut,English Language Learners (EL),Not English Learners,244489,68.6,243851,63.5,108520,56.7
2016-2017,State of Connecticut,Gender,Female,132608,69.6,132267,62.3,57692,55.3
2016-2017,State of Connecticut,Gender,Male,139501,64.6,139109,62,61248,55.3
2016-2017,State of Connecticut,Grade,3,37792,68.8,37716,63.9,N/A,N/A
2016-2017,State of Connecticut,Grade,4,39000,71.5,38932,67.1,N/A,N/A
2016-2017,State of Connecticut,Grade,5,38657,68.4,38573,65.5,38828,55.5
2016-2017,State of Connecticut,Grade,6,39038,69.4,38892,62.6,N/A,N/A
2016-2017,State of Connecticut,Grade,7,39199,67.3,39027,60.7,N/A,N/A
2016-2017,State of Connecticut,Grade,8,40052,64.3,39870,59.4,40429,55.8
2016-2017,State of Connecticut,Grade,10,N/A,N/A,N/A,N/A,39683,54.7
2016-2017,State of Connecticut,Grade,11,38371,59.7,38366,56.2,N/A,N/A
2016-2017,State of Connecticut,"High Needs (F/R, EL or SWD)",High Needs,125080,55.9,124562,50.5,52949,45.2
2016-2017,State of Connecticut,"High Needs (F/R, EL or SWD)",Not High Needs,147029,76.5,146814,72.1,65991,63.4
2016-2017,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,98541,56.2,98137,50.5,41380,45.2
2016-2017,State of Connecticut,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,173568,73.2,173239,68.8,77560,60.7
2016-2017,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Free,86121,55.2,85738,49.4,36068,44.3
2016-2017,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Non-Subsidized,173568,73.2,173239,68.8,77560,60.7
2016-2017,State of Connecticut,Free/Reduced Price Meal Eligibility (3-level),Reduced,12420,62.8,12399,57.9,5312,51.4
2016-2017,State of Connecticut,Race/Ethnicity,American Indian or Alaska Native,709,61.5,708,56.2,324,50.1
2016-2017,State of Connecticut,Race/Ethnicity,Asian,13759,78.1,13744,77.7,5742,64.3
2016-2017,State of Connecticut,Race/Ethnicity,Black or African American,34384,55.3,34250,48.4,15031,43.1
2016-2017,State of Connecticut,Race/Ethnicity,Hispanic or Latino,63529,56.6,63271,51.1,26841,45.3
2016-2017,State of Connecticut,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,255,67.9,254,63.3,117,56.3
2016-2017,State of Connecticut,Race/Ethnicity,Two or More Races,7759,69.6,7739,64.2,3175,57.1
2016-2017,State of Connecticut,Race/Ethnicity,White,151714,73,151410,68.4,67710,61.2
2016-2017,State of Connecticut,Special Education Status (SWD),Students with Disabilities,39045,47,38817,41.6,17521,40.5
2016-2017,State of Connecticut,Special Education Status (SWD),Students without Disabilities,233064,70.4,232559,65.6,101419,57.9
2017-2018,State of Connecticut,All Students,State,268097,67.6,267615,62.7,N/A,N/A
2017-2018,State of Connecticut,English Language Learners (EL),English Learners,26909,54.5,26860,51.1,N/A,N/A
2017-2018,State of Connecticut,English Language Learners (EL),Not English Learners,241188,69,240755,64,N/A,N/A
2017-2018,State of Connecticut,Gender,Female,130751,70.2,130530,62.9,N/A,N/A
2017-2018,State of Connecticut,Gender,Male,137336,65.1,137075,62.5,N/A,N/A
2017-2018,State of Connecticut,Gender,Non-Binary,*,*,*,*,N/A,N/A
2017-2018,State of Connecticut,Grade,3,36875,69.7,36824,64.3,N/A,N/A
2017-2018,State of Connecticut,Grade,4,37843,72.1,37782,67.8,N/A,N/A
2017-2018,State of Connecticut,Grade,5,39102,69.8,39046,66.7,N/A,N/A
2017-2018,State of Connecticut,Grade,6,38565,69.5,38495,63,N/A,N/A
2017-2018,State of Connecticut,Grade,7,38974,67.7,38857,61.2,N/A,N/A
2017-2018,State of Connecticut,Grade,8,39146,65.9,39024,60.3,N/A,N/A
2017-2018,State of Connecticut,Grade,11,37592,58.2,37587,55.7,N/A,N/A
