Age Group,State,State Code,Yearly July 1st Estimates,Population
5-9 years,Alabama,1,1990,287586
5-9 years,Alabama,1,1991,287569
5-9 years,Alabama,1,1992,287535
5-9 years,Alabama,1,1993,289146
5-9 years,Alabama,1,1994,293136
5-9 years,Alabama,1,1995,299561
5-9 years,Alabama,1,1996,303652
5-9 years,Alabama,1,1997,311358
5-9 years,Alabama,1,1998,313700
5-9 years,Alabama,1,1999,315749
5-9 years,Alabama,1,2000,313178
5-9 years,Alabama,1,2001,307526
5-9 years,Alabama,1,2002,302632
5-9 years,Alabama,1,2003,299148
5-9 years,Alabama,1,2004,297554
5-9 years,Alabama,1,2005,298450
5-9 years,Alabama,1,2006,303581
5-9 years,Alabama,1,2007,306013
5-9 years,Alabama,1,2008,306682
5-9 years,Alabama,1,2009,307864
5-9 years,Alabama,1,2010,307255
5-9 years,Alabama,1,2011,304701
5-9 years,Alabama,1,2012,305763
5-9 years,Alabama,1,2013,307034
5-9 years,Alabama,1,2014,306366
5-9 years,Alabama,1,2015,305327
5-9 years,Alabama,1,2016,304157
5-9 years,Alabama,1,2017,301569
5-9 years,Alabama,1,2018,298235
5-9 years,Alabama,1,2019,298242
5-9 years,Alabama,1,2020,299404
5-9 years,Alaska,2,1990,52904
5-9 years,Alaska,2,1991,54295
5-9 years,Alaska,2,1992,54561
5-9 years,Alaska,2,1993,54698
5-9 years,Alaska,2,1994,54994
5-9 years,Alaska,2,1995,54809
5-9 years,Alaska,2,1996,54715
5-9 years,Alaska,2,1997,55474
5-9 years,Alaska,2,1998,56552
5-9 years,Alaska,2,1999,55181
5-9 years,Alaska,2,2000,53439
5-9 years,Alaska,2,2001,51312
5-9 years,Alaska,2,2002,49946
5-9 years,Alaska,2,2003,48745
5-9 years,Alaska,2,2004,48026
5-9 years,Alaska,2,2005,47441
5-9 years,Alaska,2,2006,48063
5-9 years,Alaska,2,2007,48030
5-9 years,Alaska,2,2008,48232
5-9 years,Alaska,2,2009,50070
5-9 years,Alaska,2,2010,51071
5-9 years,Alaska,2,2011,51374
5-9 years,Alaska,2,2012,51919
5-9 years,Alaska,2,2013,52111
5-9 years,Alaska,2,2014,51815
5-9 years,Alaska,2,2015,51801
5-9 years,Alaska,2,2016,52674
5-9 years,Alaska,2,2017,52523
5-9 years,Alaska,2,2018,52302
5-9 years,Alaska,2,2019,51946
5-9 years,Alaska,2,2020,51643
5-9 years,Arizona,4,1990,285875
5-9 years,Arizona,4,1991,289302
5-9 years,Arizona,4,1992,293291
5-9 years,Arizona,4,1993,302040
5-9 years,Arizona,4,1994,309525
5-9 years,Arizona,4,1995,326697
5-9 years,Arizona,4,1996,341171
5-9 years,Arizona,4,1997,349860
5-9 years,Arizona,4,1998,366709
5-9 years,Arizona,4,1999,380471
5-9 years,Arizona,4,2000,389520
5-9 years,Arizona,4,2001,388279
5-9 years,Arizona,4,2002,388857
5-9 years,Arizona,4,2003,389350
5-9 years,Arizona,4,2004,393245
5-9 years,Arizona,4,2005,401892
5-9 years,Arizona,4,2006,417038
5-9 years,Arizona,4,2007,427998
5-9 years,Arizona,4,2008,440171
5-9 years,Arizona,4,2009,446994
5-9 years,Arizona,4,2010,453017
5-9 years,Arizona,4,2011,450340
5-9 years,Arizona,4,2012,456026
5-9 years,Arizona,4,2013,460300
5-9 years,Arizona,4,2014,460689
5-9 years,Arizona,4,2015,458633
5-9 years,Arizona,4,2016,457666
5-9 years,Arizona,4,2017,453847
5-9 years,Arizona,4,2018,451303
5-9 years,Arizona,4,2019,454018
5-9 years,Arizona,4,2020,458844
5-9 years,Arkansas,5,1990,172863
5-9 years,Arkansas,5,1991,172179
5-9 years,Arkansas,5,1992,173508
5-9 years,Arkansas,5,1993,173283
5-9 years,Arkansas,5,1994,176147
5-9 years,Arkansas,5,1995,180971
5-9 years,Arkansas,5,1996,185004
5-9 years,Arkansas,5,1997,186862
5-9 years,Arkansas,5,1998,188818
5-9 years,Arkansas,5,1999,188127
5-9 years,Arkansas,5,2000,186221
5-9 years,Arkansas,5,2001,184198
5-9 years,Arkansas,5,2002,182837
5-9 years,Arkansas,5,2003,182549
5-9 years,Arkansas,5,2004,183762
5-9 years,Arkansas,5,2005,186100
5-9 years,Arkansas,5,2006,189078
5-9 years,Arkansas,5,2007,191244
5-9 years,Arkansas,5,2008,192784
5-9 years,Arkansas,5,2009,195101
5-9 years,Arkansas,5,2010,196925
5-9 years,Arkansas,5,2011,197498
5-9 years,Arkansas,5,2012,199486
5-9 years,Arkansas,5,2013,200315
5-9 years,Arkansas,5,2014,199081
5-9 years,Arkansas,5,2015,198272
5-9 years,Arkansas,5,2016,197023
5-9 years,Arkansas,5,2017,195531
5-9 years,Arkansas,5,2018,193202
5-9 years,Arkansas,5,2019,192927
5-9 years,Arkansas,5,2020,193212
5-9 years,California,6,1990,2251433
5-9 years,California,6,1991,2299399
5-9 years,California,6,1992,2316373
5-9 years,California,6,1993,2352770
5-9 years,California,6,1994,2412460
5-9 years,California,6,1995,2494120
5-9 years,California,6,1996,2612345
5-9 years,California,6,1997,2689391
5-9 years,California,6,1998,2731250
5-9 years,California,6,1999,2748888
5-9 years,California,6,2000,2717425
5-9 years,California,6,2001,2671134
5-9 years,California,6,2002,2607616
5-9 years,California,6,2003,2548508
5-9 years,California,6,2004,2486084
5-9 years,California,6,2005,2426913
5-9 years,California,6,2006,2408374
5-9 years,California,6,2007,2398296
5-9 years,California,6,2008,2423440
5-9 years,California,6,2009,2465467
5-9 years,California,6,2010,2504784
5-9 years,California,6,2011,2512962
5-9 years,California,6,2012,2538442
5-9 years,California,6,2013,2556700
5-9 years,California,6,2014,2551638
5-9 years,California,6,2015,2542123
5-9 years,California,6,2016,2537093
5-9 years,California,6,2017,2513348
5-9 years,California,6,2018,2490201
5-9 years,California,6,2019,2480357
5-9 years,California,6,2020,2468600
5-9 years,Colorado,8,1990,257329
5-9 years,Colorado,8,1991,261205
5-9 years,Colorado,8,1992,267044
5-9 years,Colorado,8,1993,270398
5-9 years,Colorado,8,1994,274563
5-9 years,Colorado,8,1995,279278
5-9 years,Colorado,8,1996,283869
5-9 years,Colorado,8,1997,290926
5-9 years,Colorado,8,1998,300016
5-9 years,Colorado,8,1999,304910
5-9 years,Colorado,8,2000,308509
5-9 years,Colorado,8,2001,308219
5-9 years,Colorado,8,2002,305736
5-9 years,Colorado,8,2003,302711
5-9 years,Colorado,8,2004,301885
5-9 years,Colorado,8,2005,304874
5-9 years,Colorado,8,2006,313990
5-9 years,Colorado,8,2007,322967
5-9 years,Colorado,8,2008,333114
5-9 years,Colorado,8,2009,342826
5-9 years,Colorado,8,2010,348955
5-9 years,Colorado,8,2011,351720
5-9 years,Colorado,8,2012,355108
5-9 years,Colorado,8,2013,356817
5-9 years,Colorado,8,2014,356244
